[10/15/20 08:44:23] [jarvis]   http get /status?_no_cache=1602747862027
[10/15/20 08:44:24] [hotword]  voice_activity_end
[10/15/20 08:44:24] [hotword]  voice_activity_start
[10/15/20 08:44:25] [jarvis]   http get /status?_no_cache=1602747864015
[10/15/20 08:44:25] [hotword]  voice_activity_end
[10/15/20 08:44:27] [jarvis]   http get /status?_no_cache=1602747866019
[10/15/20 08:44:28] [hotword]  voice_activity_start
[10/15/20 08:44:29] [jarvis]   http get /status?_no_cache=1602747868022
[10/15/20 08:44:29] [hotword]  voice_activity_end
[10/15/20 08:44:29] [hotword]  voice_activity_start
[10/15/20 08:44:31] [jarvis]   http get /status?_no_cache=1602747870027
[10/15/20 08:44:32] [hotword]  voice_activity_end
[10/15/20 08:44:33] [jarvis]   http get /status?_no_cache=1602747872016
[10/15/20 08:44:34] [hotword]  voice_activity_start
[10/15/20 08:44:35] [jarvis]   http get /status?_no_cache=1602747874022
[10/15/20 08:44:35] [hotword]  voice_activity_end
[10/15/20 08:44:36] [hotword]  voice_activity_start
[10/15/20 08:44:37] [jarvis]   http get /status?_no_cache=1602747876024
[10/15/20 08:44:37] [hotword]  voice_activity_end
[10/15/20 08:44:39] [hotword]  voice_activity_start
[10/15/20 08:44:39] [jarvis]   http get /status?_no_cache=1602747878022
[10/15/20 08:44:40] [hotword]  voice_activity_end
[10/15/20 08:44:41] [hotword]  voice_activity_start
[10/15/20 08:44:41] [jarvis]   http get /status?_no_cache=1602747880020
[10/15/20 08:44:42] [hotword]  voice_activity_end
[10/15/20 08:44:43] [jarvis]   http get /status?_no_cache=1602747882025
[10/15/20 08:44:45] [hotword]  voice_activity_start
[10/15/20 08:44:45] [jarvis]   http get /status?_no_cache=1602747884026
[10/15/20 08:44:47] [jarvis]   http get /status?_no_cache=1602747886017
[10/15/20 08:44:49] [jarvis]   http get /status?_no_cache=1602747888025
[10/15/20 08:44:50] [hotword]  voice_activity_end
[10/15/20 08:44:50] [hotword]  voice_activity_start
[10/15/20 08:44:51] [jarvis]   http get /status?_no_cache=1602747890020
[10/15/20 08:44:53] [jarvis]   http get /status?_no_cache=1602747892025
[10/15/20 08:44:53] [hotword]  voice_activity_end
[10/15/20 08:44:53] [hotword]  voice_activity_start
[10/15/20 08:44:55] [jarvis]   http get /status?_no_cache=1602747894022
[10/15/20 08:44:55] [hotword]  voice_activity_end
[10/15/20 08:44:56] [hotword]  voice_activity_start
[10/15/20 08:44:57] [jarvis]   http get /status?_no_cache=1602747896027
[10/15/20 08:44:58] [hotword]  voice_activity_end
[10/15/20 08:44:59] [jarvis]   http get /status?_no_cache=1602747898017
[10/15/20 08:45:00] [hotword]  voice_activity_start
[10/15/20 08:45:01] [hotword]  voice_activity_end
[10/15/20 08:45:01] [hotword]  voice_activity_start
[10/15/20 08:45:01] [jarvis]   http get /status?_no_cache=1602747900019
[10/15/20 08:45:03] [hotword]  voice_activity_end
[10/15/20 08:45:03] [jarvis]   http get /status?_no_cache=1602747902028
[10/15/20 08:45:04] [hotword]  voice_activity_start
[10/15/20 08:45:05] [hotword]  voice_activity_end
[10/15/20 08:45:05] [jarvis]   http get /status?_no_cache=1602747904028
[10/15/20 08:45:05] [hotword]  voice_activity_start
[10/15/20 08:45:07] [hotword]  voice_activity_end
[10/15/20 08:45:07] [hotword]  voice_activity_start
[10/15/20 08:45:07] [jarvis]   http get /status?_no_cache=1602747906016
[10/15/20 08:45:09] [jarvis]   http get /status?_no_cache=1602747908021
[10/15/20 08:45:10] [hotword]  voice_activity_end
[10/15/20 08:45:11] [jarvis]   http get /status?_no_cache=1602747910025
[10/15/20 08:45:11] [hotword]  voice_activity_start
[10/15/20 08:45:13] [hotword]  voice_activity_end
[10/15/20 08:45:13] [jarvis]   http get /status?_no_cache=1602747912026
[10/15/20 08:45:15] [jarvis]   http get /status?_no_cache=1602747914025
[10/15/20 08:45:17] [jarvis]   http get /status?_no_cache=1602747916025
[10/15/20 08:45:18] [hotword]  voice_activity_start
[10/15/20 08:45:19] [hotword]  voice_activity_end
[10/15/20 08:45:19] [jarvis]   http get /status?_no_cache=1602747918026
[10/15/20 08:45:20] [hotword]  voice_activity_start
[10/15/20 08:45:21] [hotword]  voice_activity_end
[10/15/20 08:45:21] [hotword]  voice_activity_start
[10/15/20 08:45:21] [jarvis]   http get /status?_no_cache=1602747920019
[10/15/20 08:45:23] [jarvis]   http get /status?_no_cache=1602747922020
[10/15/20 08:45:23] [hotword]  voice_activity_end
[10/15/20 08:45:24] [hotword]  voice_activity_start
[10/15/20 08:45:25] [hotword]  voice_activity_end
[10/15/20 08:45:25] [hotword]  voice_activity_start
[10/15/20 08:45:25] [jarvis]   http get /status?_no_cache=1602747924027
[10/15/20 08:45:26] [hotword]  voice_activity_end
[10/15/20 08:45:27] [hotword]  voice_activity_start
[10/15/20 08:45:27] [jarvis]   http get /status?_no_cache=1602747926016
[10/15/20 08:45:28] [hotword]  voice_activity_end
[10/15/20 08:45:29] [hotword]  voice_activity_start
[10/15/20 08:45:29] [jarvis]   http get /status?_no_cache=1602747928025
[10/15/20 08:45:30] [hotword]  voice_activity_end
[10/15/20 08:45:31] [jarvis]   http get /status?_no_cache=1602747930018
[10/15/20 08:45:32] [hotword]  voice_activity_start
[10/15/20 08:45:33] [jarvis]   http get /status?_no_cache=1602747932024
[10/15/20 08:45:34] [hotword]  voice_activity_end
[10/15/20 08:45:35] [hotword]  voice_activity_start
[10/15/20 08:45:35] [jarvis]   http get /status?_no_cache=1602747934025
[10/15/20 08:45:36] [hotword]  voice_activity_end
[10/15/20 08:45:37] [hotword]  voice_activity_start
[10/15/20 08:45:37] [jarvis]   http get /status?_no_cache=1602747935938
[10/15/20 08:45:39] [jarvis]   http get /status?_no_cache=1602747937940
[10/15/20 08:45:41] [jarvis]   http get /status?_no_cache=1602747939939
[10/15/20 08:45:43] [jarvis]   http get /status?_no_cache=1602747941942
[10/15/20 08:45:45] [jarvis]   http get /status?_no_cache=1602747943948
[10/15/20 08:45:47] [jarvis]   http get /status?_no_cache=1602747945939
[10/15/20 08:45:48] [hotword]  voice_activity_end
[10/15/20 08:45:49] [hotword]  voice_activity_start
[10/15/20 08:45:49] [jarvis]   http get /status?_no_cache=1602747947939
[10/15/20 08:45:50] [hotword]  voice_activity_end
[10/15/20 08:45:51] [hotword]  voice_activity_start
[10/15/20 08:45:51] [jarvis]   http get /status?_no_cache=1602747949942
[10/15/20 08:45:53] [jarvis]   http get /status?_no_cache=1602747951940
[10/15/20 08:45:54] [hotword]  voice_activity_end
[10/15/20 08:45:55] [jarvis]   http get /status?_no_cache=1602747953939
[10/15/20 08:45:56] [hotword]  voice_activity_start
[10/15/20 08:45:57] [jarvis]   http get /status?_no_cache=1602747955939
[10/15/20 08:45:58] [hotword]  voice_activity_end
[10/15/20 08:45:58] [hotword]  voice_activity_start
[10/15/20 08:45:59] [hotword]  voice_activity_end
[10/15/20 08:45:59] [jarvis]   http get /status?_no_cache=1602747957941
[10/15/20 08:45:59] [hotword]  voice_activity_start
[10/15/20 08:46:00] [hotword]  voice_activity_end
[10/15/20 08:46:01] [jarvis]   http get /status?_no_cache=1602747959944
[10/15/20 08:46:01] [hotword]  voice_activity_start
[10/15/20 08:46:03] [jarvis]   http get /status?_no_cache=1602747961948
[10/15/20 08:46:03] [hotword]  voice_activity_end
[10/15/20 08:46:04] [hotword]  voice_activity_start
[10/15/20 08:46:05] [hotword]  voice_activity_end
[10/15/20 08:46:05] [jarvis]   http get /status?_no_cache=1602747963949
[10/15/20 08:46:05] [hotword]  voice_activity_start
[10/15/20 08:46:07] [jarvis]   http get /status?_no_cache=1602747965952
